Point ID,arc_length,bedrock,ceff,cell_area,groundedmask,h,h velocity,haf,ls,Points_0,Points_1,Points_2,Points_Magnitude,pvar,smb_ref,ssavelocity 1,ssavelocity 2,strbasemag,vtkValidPointMask,x,y,zb,zs
105,77700,-264.575,1e+20,433013,1,1464.29,0.0039201,1167.69,-581070,150000,77700,0,168930,0,0.3,19.7998,43.3924,1e+20,1,150000,77700,-264.575,1199.71
106,78440,-262.519,1e+20,433013,1,1460.26,0.00392265,1165.96,-580728,150000,78440,0,169271,0,0.3,19.8529,43.7396,1e+20,1,150000,78440,-262.519,1197.74
107,79180,-260.471,1e+20,433013,1,1456.23,0.00392522,1164.23,-580384,150000,79180,0,169616,0,0.3,19.904,44.0865,1e+20,1,150000,79180,-260.471,1195.76
108,79920,-258.44,1e+20,433013,1,1452.21,0.00392782,1162.48,-580037,150000,79920,0,169962,0,0.3,19.9531,44.4336,1e+20,1,150000,79920,-258.44,1193.77
109,80660,-256.393,1e+20,433013,1,1448.16,0.00393043,1160.73,-579688,150000,80660,0,170312,0,0.3,19.9998,44.7789,1e+20,1,150000,80660,-256.393,1191.76
110,81400,-254.313,1e+20,433013,1,1444.06,0.00393305,1158.96,-579336,150000,81400,0,170663,0,0.3,20.0436,45.1213,1e+20,1,150000,81400,-254.313,1189.75
111,82140,-252.251,1e+20,433013,1,1439.97,0.0039357,1157.19,-578982,150000,82140,0,171017,0,0.3,20.0855,45.4638,1e+20,1,150000,82140,-252.251,1187.72
112,82880,-250.206,1e+20,433013,1,1435.89,0.00393837,1155.39,-578626,150000,82880,0,171374,0,0.3,20.1253,45.8063,1e+20,1,150000,82880,-250.206,1185.68
113,83620,-248.148,1e+20,433013,1,1431.78,0.00394106,1153.59,-578267,150000,83620,0,171733,0,0.3,20.1627,46.1468,1e+20,1,150000,83620,-248.148,1183.63
114,84360,-246.073,1e+20,433013,1,1427.64,0.00394376,1151.78,-577905,150000,84360,0,172095,0,0.3,20.1974,46.4849,1e+20,1,150000,84360,-246.073,1181.57
115,85100,-244.027,1e+20,433013,1,1423.52,0.00394648,1149.95,-577541,150000,85100,0,172459,0,0.3,20.2301,46.8234,1e+20,1,150000,85100,-244.027,1179.49
116,85840,-241.997,1e+20,433013,1,1419.41,0.00394924,1148.12,-577175,150000,85840,0,172825,0,0.3,20.2608,47.1618,1e+20,1,150000,85840,-241.997,1177.41
117,86580,-239.957,1e+20,433013,1,1415.27,0.003952,1146.27,-576806,150000,86580,0,173194,0,0.3,20.2889,47.4979,1e+20,1,150000,86580,-239.957,1175.31
118,87320,-237.915,1e+20,433013,1,1411.12,0.00395478,1144.4,-576435,150000,87320,0,173565,0,0.3,20.3147,47.8322,1e+20,1,150000,87320,-237.915,1173.2
119,88060,-235.91,1e+20,433013,1,1406.99,0.00395759,1142.53,-576061,150000,88060,0,173938,0,0.3,20.3384,48.1673,1e+20,1,150000,88060,-235.91,1171.08
120,88800,-233.921,1e+20,433013,1,1402.87,0.00396042,1140.64,-575686,150000,88800,0,174314,0,0.3,20.3602,48.502,1e+20,1,150000,88800,-233.921,1168.95
121,89540,-231.927,1e+20,433013,1,1398.74,0.00396327,1138.73,-575307,150000,89540,0,174692,0,0.3,20.3793,48.8344,1e+20,1,150000,89540,-231.927,1166.81
122,90280,-229.942,1e+20,433013,1,1394.59,0.00396613,1136.82,-574927,150000,90280,0,175073,0,0.3,20.3962,49.1653,1e+20,1,150000,90280,-229.942,1164.65
123,91020,-228.001,1e+20,433013,1,1390.49,0.00396903,1134.89,-574544,150000,91020,0,175456,0,0.3,20.4111,49.4976,1e+20,1,150000,91020,-228.001,1162.48
124,91760,-226.077,1e+20,433013,1,1386.38,0.00397195,1132.94,-574159,150000,91760,0,175841,0,0.3,20.4241,49.8292,1e+20,1,150000,91760,-226.077,1160.31
125,92500,-224.153,1e+20,433013,1,1382.27,0.00397489,1130.98,-573772,150000,92500,0,176228,0,0.3,20.4345,50.1582,1e+20,1,150000,92500,-224.153,1158.12
126,93240,-222.25,1e+20,433013,1,1378.17,0.00397784,1129.01,-573382,150000,93240,0,176617,0,0.3,20.4428,50.4866,1e+20,1,150000,93240,-222.25,1155.91
127,93980,-220.39,1e+20,433013,1,1374.09,0.00398083,1127.02,-572990,150000,93980,0,177009,0,0.3,20.449,50.8162,1e+20,1,150000,93980,-220.39,1153.7
128,94720,-218.55,1e+20,433013,1,1370.03,0.00398385,1125.02,-572597,150000,94720,0,177403,0,0.3,20.4534,51.1452,1e+20,1,150000,94720,-218.55,1151.48
